rt,response,trial_type,trial_index,time_elapsed,internal_node_id,correct,stimulus,slider_start,accuracy,participant_id,ctime
5333,100,html-slider-response,10,117945,0.0-2.0-0.7,NA,<b>Mary:</b><em> Which course did Ava take?</em><br> <b>John:</b><em> She took the French course.</em> <br> <br> How well does John's response fit Mary's question?,50,NA,2d95a1ca-a1c6-4d11-b74a-b315b85fbebc,2024-06-24 12:14:16 CEST
10076,30,html-slider-response,11,128022,0.0-2.0-0.8,NA,<b>Vincent:</b><em> Who did Raul cheat on?</em><br> <b>Nina:</b><em> Emma is right that he cheated on his wife.</em> <br> <br> How well does Nina's response fit Vincent's question?,50,NA,2d95a1ca-a1c6-4d11-b74a-b315b85fbebc,2024-06-24 12:14:16 CEST
18133,"{""P0_Q0"":null,""age"":""29"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""comments"":""""}",survey,12,146192,0.0-3.0,NA,NA,NA,[],2d95a1ca-a1c6-4d11-b74a-b315b85fbebc,2024-06-24 12:14:16 CEST
16470,"{""Q0"":""Barbara""}",survey-text,0,16481,0.0-0.0-0.0,TRUE,NA,NA,NA,625b0360-bb02-4acc-a6b2-a6db8aedb424,2024-06-24 12:15:44 CEST
1922,0,html-button-response,1,18404,0.0-0.0-3.0-0.0,NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,625b0360-bb02-4acc-a6b2-a6db8aedb424,2024-06-24 12:15:44 CEST
17050,0,html-button-response,2,35456,0.0-1.0,NA,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read nine conversations between two speakers, as in this example, where Candy asks a question, and Lenny responds.</p>  <p style='text-align:left'> <b>Candy</b>: <i>Is this house big? </i> <br> <b>Lenny</b>: <i> Cassandra suggested that it's huge. </i> </p>  <p style='text-align:left'> We ask you to judge how well the response fits the question. You will give your judgment on a slider marked 'totally doesn't fit' at one end and 'totally fits' at the other.</p>  <p style='text-align:left'>The experiment will take around 2 minutes, and you will be paid 40 cents.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below, you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at st180735@stud.uni-stuttgart.de.</p>",NA,NA,625b0360-bb02-4acc-a6b2-a6db8aedb424,2024-06-24 12:15:44 CEST
7304,0,html-slider-response,3,42762,0.0-2.0-0.0,NA,<b>Jennifer:</b><em> What does Betsy have?</em><br> <b>Robert:</b><em> She loves dancing salsa.</em> <br> <br> How well does Robert's response fit Jennifer's question?,50,NA,625b0360-bb02-4acc-a6b2-a6db8aedb424,2024-06-24 12:15:44 CEST
9666,50,html-slider-response,4,52430,0.0-2.0-0.1,NA,<b>Frank:</b><em> What did Lucy break?</em><br> <b>Dawn:</b><em> Tony confessed that she broke the plate.</em> <br> <br> How well does Dawn's response fit Frank's question?,50,NA,625b0360-bb02-4acc-a6b2-a6db8aedb424,2024-06-24 12:15:44 CEST
8917,100,html-slider-response,5,61348,0.0-2.0-0.2,NA,"<b>Ken:</b><em> Who did Raul cheat on?</em><br> <b>Nora:</b><em> Raul, who cheated on his wife, feels guilty.</em> <br> <br> How well does Nora's response fit Ken's question?",50,NA,625b0360-bb02-4acc-a6b2-a6db8aedb424,2024-06-24 12:15:44 CEST
4011,100,html-slider-response,6,65360,0.0-2.0-0.3,NA,<b>Mary:</b><em> Which course did Ava take?</em><br> <b>John:</b><em> She took the French course.</em> <br> <br> How well does John's response fit Mary's question?,50,NA,625b0360-bb02-4acc-a6b2-a6db8aedb424,2024-06-24 12:15:44 CEST
5857,58,html-slider-response,7,71218,0.0-2.0-0.4,NA,"<b>Alice:</b><em> What did Danny eat?</em><br> <b>Clare:</b><em> Lucy forgave Danny, who ate the last cupcake.</em> <br> <br> How well does Clare's response fit Alice's question?",50,NA,625b0360-bb02-4acc-a6b2-a6db8aedb424,2024-06-24 12:15:44 CEST
6493,54,html-slider-response,8,77712,0.0-2.0-0.5,NA,<b>William:</b><em> What did Jack see?</em><br> <b>Noah:</b><em> Sophia knows that he saw the murder.</em> <br> <br> How well does Noah's response fit William's question?,50,NA,625b0360-bb02-4acc-a6b2-a6db8aedb424,2024-06-24 12:15:44 CEST
4997,63,html-slider-response,9,82710,0.0-2.0-0.6,NA,<b>Nina:</b><em> What did Dustin lose?</em><br> <b>Bob:</b><em> Patricia confirmed that he lost his key.</em> <br> <br> How well does Bob's response fit Nina's question?,50,NA,625b0360-bb02-4acc-a6b2-a6db8aedb424,2024-06-24 12:15:44 CEST
11053,100,html-slider-response,10,93764,0.0-2.0-0.7,NA,<b>Oliver:</b><em> What did Ann steal?</em><br> <b>Steven:</b><em> David discovered that she stole the money.</em> <br> <br> How well does Steven's response fit Oliver's question?,50,NA,625b0360-bb02-4acc-a6b2-a6db8aedb424,2024-06-24 12:15:44 CEST
9167,60,html-slider-response,11,102932,0.0-2.0-0.8,NA,<b>Vincent:</b><em> What did Greg buy?</em><br> <b>Grace:</b><em> Mia is right that he bought a new car.</em> <br> <br> How well does Grace's response fit Vincent's question?,50,NA,625b0360-bb02-4acc-a6b2-a6db8aedb424,2024-06-24 12:15:44 CEST
14042,"{""P0_Q0"":null,""age"":""45"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""comments"":""""}",survey,12,117018,0.0-3.0,NA,NA,NA,[],625b0360-bb02-4acc-a6b2-a6db8aedb424,2024-06-24 12:15:44 CEST
10856,"{""Q0"":""Jennifer""}",survey-text,0,10863,0.0-0.0-0.0,TRUE,NA,NA,NA,2d8ee962-fc6e-403b-9d5a-bcdf9ca43885,2024-06-24 12:30:13 CEST
1473,0,html-button-response,1,12337,0.0-0.0-3.0-0.0,NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,2d8ee962-fc6e-403b-9d5a-bcdf9ca43885,2024-06-24 12:30:13 CEST
7087,0,html-button-response,2,19425,0.0-1.0,NA,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read nine conversations between two speakers, as in this example, where Candy asks a question, and Lenny responds.</p>  <p style='text-align:left'> <b>Candy</b>: <i>Is this house big? </i> <br> <b>Lenny</b>: <i> Cassandra suggested that it's huge. </i> </p>  <p style='text-align:left'> We ask you to judge how well the response fits the question. You will give your judgment on a slider marked 'totally doesn't fit' at one end and 'totally fits' at the other.</p>  <p style='text-align:left'>The experiment will take around 2 minutes, and you will be paid 40 cents.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below, you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at st180735@stud.uni-stuttgart.de.</p>",NA,NA,2d8ee962-fc6e-403b-9d5a-bcdf9ca43885,2024-06-24 12:30:13 CEST
18889,61,html-slider-response,3,38317,0.0-2.0-0.0,NA,"<b>Isabel:</b><em> Who did Raul cheat on?</em><br> <b>Ken:</b><em> Ann criticized Raul, who cheated on his wife.</em> <br> <br> How well does Ken's response fit Isabel's question?",50,NA,2d8ee962-fc6e-403b-9d5a-bcdf9ca43885,2024-06-24 12:30:13 CEST
10654,100,html-slider-response,4,48972,0.0-2.0-0.1,NA,<b>Vincent:</b><em> What did Dustin lose?</em><br> <b>Charlotte:</b><em> Patricia confessed that he lost his key.</em> <br> <br> How well does Charlotte's response fit Vincent's question?,50,NA,2d8ee962-fc6e-403b-9d5a-bcdf9ca43885,2024-06-24 12:30:13 CEST
4295,100,html-slider-response,5,53268,0.0-2.0-0.2,NA,"<b>Charlie:</b><em> What did Ann steal?</em><br> <b>Oliver:</b><em> Ann, who stole the money, was caught by the police.</em> <br> <br> How well does Oliver's response fit Charlie's question?",50,NA,2d8ee962-fc6e-403b-9d5a-bcdf9ca43885,2024-06-24 12:30:13 CEST
7653,100,html-slider-response,6,60922,0.0-2.0-0.3,NA,<b>Bob:</b><em> What did Jack see?</em><br> <b>Clare:</b><em> Sophia confirmed that he saw the murder.</em> <br> <br> How well does Clare's response fit Bob's question?,50,NA,2d8ee962-fc6e-403b-9d5a-bcdf9ca43885,2024-06-24 12:30:13 CEST
9175,59,html-slider-response,7,70098,0.0-2.0-0.4,NA,<b>Alice:</b><em> What did Danny eat?</em><br> <b>Frank:</b><em> Linda discovered that he ate the last cupcake.</em> <br> <br> How well does Frank's response fit Alice's question?,50,NA,2d8ee962-fc6e-403b-9d5a-bcdf9ca43885,2024-06-24 12:30:13 CEST
5244,27,html-slider-response,8,75343,0.0-2.0-0.5,NA,<b>Steven:</b><em> What did Greg buy?</em><br> <b>Nina:</b><em> Mia knows that he bought a new car.</em> <br> <br> How well does Nina's response fit Steven's question?,50,NA,2d8ee962-fc6e-403b-9d5a-bcdf9ca43885,2024-06-24 12:30:13 CEST
6265,75,html-slider-response,9,81608,0.0-2.0-0.6,NA,<b>Mary:</b><em> Which course did Ava take?</em><br> <b>John:</b><em> She took the French course.</em> <br> <br> How well does John's response fit Mary's question?,50,NA,2d8ee962-fc6e-403b-9d5a-bcdf9ca43885,2024-06-24 12:30:13 CEST
7424,69,html-slider-response,10,89032,0.0-2.0-0.7,NA,<b>Noah:</b><em> What did Lucy break?</em><br> <b>William:</b><em> Tony is right that she broke the plate.</em> <br> <br> How well does William's response fit Noah's question?,50,NA,2d8ee962-fc6e-403b-9d5a-bcdf9ca43885,2024-06-24 12:30:13 CEST
7806,2,html-slider-response,11,96840,0.0-2.0-0.8,NA,<b>Jennifer:</b><em> What does Betsy have?</em><br> <b>Robert:</b><em> She loves dancing salsa.</em> <br> <br> How well does Robert's response fit Jennifer's question?,50,NA,2d8ee962-fc6e-403b-9d5a-bcdf9ca43885,2024-06-24 12:30:13 CEST
15846,"{""P0_Q0"":null,""age"":""30"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""comments"":""""}",survey,12,112712,0.0-3.0,NA,NA,NA,[],2d8ee962-fc6e-403b-9d5a-bcdf9ca43885,2024-06-24 12:30:13 CEST
